timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm,event
43:03.2,0.2765399,3.892788,3.868892,3.88084,Timeline Recording
43:05.2,0.317783,3.70129,3.716193,3.708741,Timeline Recording
43:07.2,0.3590064,3.019425,3.038251,3.028838,Timeline Recording
43:09.2,0.3999619,2.740216,2.80094,2.770578,Timeline Recording
43:11.2,0.4414015,2.704356,2.689617,2.696986,Timeline Recording
43:13.2,0.4823087,2.601913,2.572483,2.587198,Timeline Recording
43:15.2,0.5230861,2.294961,2.464249,2.379605,Timeline Recording
43:17.2,0.5636437,2.20096,2.444041,2.3225,Timeline Recording
43:19.2,0.6051607,2.460349,2.236457,2.348403,Timeline Recording
43:21.2,0.6456389,2.497663,2.160762,2.329213,Timeline Recording
43:23.2,0.6861808,2.41857,2.188832,2.303701,Timeline Recording
43:25.2,0.7267036,2.321333,2.077007,2.19917,Timeline Recording
43:27.2,0.767392,2.346737,2.050244,2.198491,Timeline Recording
43:29.2,0.8082646,2.3848,2.2132,2.299,Timeline Recording
43:31.2,0.8492384,2.445371,2.15373,2.299551,Timeline Recording
43:33.2,0.8901935,2.415967,2.425409,2.420688,Timeline Recording
43:35.2,0.9301758,2.509972,2.537719,2.523845,Timeline Recording
43:36.2,,,,,Calibration Complete
43:36.7,0.5934083,2.356279,2.458902,2.40759,Continuous Logging
43:37.2,0.5850713,2.496732,2.509678,2.503205,Continuous Logging
43:37.7,0.5841177,2.530504,2.542713,2.536608,Continuous Logging
43:38.2,0.5833033,2.747031,2.671185,2.709108,Continuous Logging
43:38.7,0.540529,2.518366,2.668166,2.593266,Continuous Logging
43:39.2,0.4765929,2.730617,4.429744,3.58018,Continuous Logging
43:39.7,0.4836524,3.003754,3.018745,3.01125,Continuous Logging
43:40.2,0.5151136,2.951591,2.901027,2.926309,Continuous Logging
43:40.7,0.5329289,2.64916,2.711062,2.680111,Continuous Logging
43:41.2,0.5338629,2.841415,2.886622,2.864018,Continuous Logging
43:41.7,0.5278244,3.408019,3.091122,3.249571,Continuous Logging
43:42.2,0.5295022,2.718613,2.866049,2.792331,Continuous Logging
43:42.7,0.4379436,3.089826,3.10359,3.096708,Continuous Logging
43:43.3,0.4280851,3.288117,3.326,3.307058,Continuous Logging
43:43.8,0.4283293,3.044848,3.055324,3.050086,Continuous Logging
43:44.3,0.5378812,2.934935,3.00963,2.972282,Continuous Logging
43:44.8,0.5682992,2.803563,2.571623,2.687593,Continuous Logging
43:45.3,0.5876626,3.209398,3.065581,3.137489,Continuous Logging
43:45.8,0.598534,2.933392,2.875919,2.904655,Continuous Logging
43:46.3,0.6024769,3.024743,2.662059,2.8434,Continuous Logging
43:46.8,0.6020373,2.633504,2.577526,2.605515,Continuous Logging
43:47.3,0.5828855,2.849242,2.628077,2.738659,Continuous Logging
43:47.8,0.5560626,2.867973,2.507483,2.687728,Continuous Logging
43:48.3,0.5664103,2.866758,2.710577,2.788668,Continuous Logging
43:48.8,0.57357,2.351537,2.606524,2.479031,Continuous Logging
43:49.3,0.5815501,2.231902,2.62389,2.427896,Continuous Logging
43:49.8,0.5472577,2.382925,2.892137,2.637531,Continuous Logging
43:50.3,0.5315298,2.391694,2.911615,2.651655,Continuous Logging
43:50.8,0.5338367,2.896631,2.907565,2.902098,Continuous Logging
