timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm,event
2025-11-25 16:06:54.730,0,5.478976,5.370813,5.424894,Timeline Recording
2025-11-25 16:06:56.727,0.06268193,5.240551,5.323793,5.282172,Timeline Recording
2025-11-25 16:06:58.738,0.1253639,5.514825,5.456642,5.485734,Timeline Recording
2025-11-25 16:07:00.721,0.1878037,5.084602,5.105752,5.095177,Timeline Recording
2025-11-25 16:07:02.719,0.2507277,4.918241,4.70701,4.812626,Timeline Recording
2025-11-25 16:07:04.718,0.3131193,4.526772,4.460691,4.493731,Timeline Recording
2025-11-25 16:07:06.719,0.3756074,4.118189,4.447042,4.282616,Timeline Recording
2025-11-25 16:07:08.723,0.4380469,4.301692,4.244968,4.27333,Timeline Recording
2025-11-25 16:07:10.723,0.5014554,4.26431,4.025899,4.145104,Timeline Recording
2025-11-25 16:07:12.723,0.5638148,4.006948,3.871861,3.939405,Timeline Recording
2025-11-25 16:07:14.746,0.6262385,3.793201,3.729887,3.761544,Timeline Recording
2025-11-25 16:07:16.718,0.688643,3.735462,3.62284,3.679151,Timeline Recording
2025-11-25 16:07:18.724,0.7512147,3.750561,3.687729,3.719145,Timeline Recording
2025-11-25 16:07:20.721,0.8136357,3.395188,3.29506,3.345124,Timeline Recording
2025-11-25 16:07:22.722,0.8760939,3.215038,3.145778,3.180408,Timeline Recording
2025-11-25 16:07:24.727,0.9385334,3.030977,2.982569,3.006773,Timeline Recording
2025-11-25 16:07:26.723,1,2.92938,2.973082,2.951231,Timeline Recording
2025-11-25 16:07:27.723,,,,,Calibration Complete
2025-11-25 16:07:28.224,0.4713644,3.488825,3.404267,3.446546,Continuous Logging
2025-11-25 16:07:28.726,0.4760724,3.449891,3.560671,3.505281,Continuous Logging
2025-11-25 16:07:29.232,0.5167993,3.467465,3.463257,3.465361,Continuous Logging
2025-11-25 16:07:29.734,0.4917978,3.450114,3.308366,3.37924,Continuous Logging
2025-11-25 16:07:30.242,0.4816136,3.470736,3.441678,3.456207,Continuous Logging
2025-11-25 16:07:30.743,0.4788932,3.626117,3.699193,3.662655,Continuous Logging
2025-11-25 16:07:31.246,0.4756822,3.525066,3.666709,3.595888,Continuous Logging
2025-11-25 16:07:31.755,0.4722222,3.256633,3.484897,3.370765,Continuous Logging
2025-11-25 16:07:32.260,0.4685983,3.233293,3.394863,3.314078,Continuous Logging
2025-11-25 16:07:32.766,0.6506932,4.047082,3.775657,3.91137,Continuous Logging
2025-11-25 16:07:33.271,0.6959903,3.882435,3.561522,3.721979,Continuous Logging
2025-11-25 16:07:33.777,0.6036434,3.075091,3.44827,3.261681,Continuous Logging
2025-11-25 16:07:34.279,0.4841655,3.804119,4.006626,3.905373,Continuous Logging
2025-11-25 16:07:34.783,0.4814631,3.790549,3.838593,3.814571,Continuous Logging
2025-11-25 16:07:35.296,0.4815689,4.057817,3.882778,3.970297,Continuous Logging
2025-11-25 16:07:35.803,0.4813376,4.136458,3.965081,4.050769,Continuous Logging
2025-11-25 16:07:36.305,0.4811462,4.178374,3.978702,4.078538,Continuous Logging
2025-11-25 16:07:36.806,0.4805804,4.056234,3.882164,3.969199,Continuous Logging
2025-11-25 16:07:37.316,0.4811571,4.040008,4.024715,4.032362,Continuous Logging
2025-11-25 16:07:37.822,0.4806314,3.925612,3.87321,3.899411,Continuous Logging
2025-11-25 16:07:38.329,0.4802415,4.2054,4.188203,4.196801,Continuous Logging
2025-11-25 16:07:38.833,0.2608127,4.392101,4.327079,4.35959,Continuous Logging
2025-11-25 16:07:39.333,0.4802493,3.885321,4.040543,3.962932,Continuous Logging
2025-11-25 16:07:39.833,0.4962781,3.889876,4.026826,3.958351,Continuous Logging
2025-11-25 16:07:40.340,0.3325477,3.78612,3.801007,3.793563,Continuous Logging
2025-11-25 16:07:40.854,0.4858222,3.807918,3.841503,3.824711,Continuous Logging
2025-11-25 16:07:41.354,0.4718564,3.993004,3.997892,3.995448,Continuous Logging
2025-11-25 16:07:41.866,0.4754568,3.650854,3.775039,3.712946,Continuous Logging
2025-11-25 16:07:42.377,0.4717257,3.286455,3.534163,3.410309,Continuous Logging
2025-11-25 16:07:42.880,0.4700294,3.481138,3.670485,3.575811,Continuous Logging
2025-11-25 16:07:43.387,0.4697103,3.900165,4.030945,3.965555,Continuous Logging
2025-11-25 16:07:43.893,0.4695692,3.79421,3.867862,3.831036,Continuous Logging
2025-11-25 16:07:44.393,0.4691256,4.086011,3.988054,4.037033,Continuous Logging
2025-11-25 16:07:44.903,0.4666224,3.614578,3.659177,3.636877,Continuous Logging
