time,position
0.506,-9.376;40.776;30.639
1.005,-9.376;40.776;30.639
1.508,-9.376;40.776;30.639
2.009,-9.376;40.776;30.639
2.501,-9.376;40.776;30.639
3.011,-9.376;40.776;30.639
3.510,-9.376;40.776;30.639
4.003,-9.376;40.776;30.639
4.508,-9.376;40.776;30.639
5.009,-9.376;40.776;30.639
5.505,-9.376;40.776;30.639
6.001,-9.376;40.776;30.639
6.529,-9.376;40.776;30.639
7.000,-9.376;40.776;30.639
7.500,-9.376;40.776;30.639
8.003,-9.376;40.776;30.639
8.500,-9.376;40.776;30.639
9.008,-9.376;40.776;30.639
9.506,-9.376;40.776;30.639
10.018,-9.523;40.776;30.691
10.504,-10.676;40.512;31.076
11.014,-11.887;39.975;31.474
11.509,-12.927;39.975;31.379
12.006,-14.022;39.975;31.815
12.500,-15.125;41.168;32.360
13.006,-16.336;39.975;32.691
13.521,-17.563;39.975;32.987
14.001,-17.984;39.975;34.100
14.501,-19.087;39.975;34.556
15.000,-20.279;39.975;34.405
15.504,-21.486;39.975;34.701
16.008,-22.643;39.975;35.183
16.503,-23.690;39.975;35.843
17.010,-24.819;39.975;36.416
17.500,-25.893;41.074;37.009
18.006,-26.276;40.798;37.246
18.501,-26.522;40.798;37.441
19.007,-26.686;40.798;37.621
19.511,-26.893;40.798;37.850
20.005,-27.061;40.798;38.062
20.513,-27.061;40.798;38.062
21.003,-27.061;40.798;38.062
21.503,-27.061;40.798;38.062
22.005,-27.061;40.798;38.062
22.510,-27.061;40.798;38.062
23.011,-27.061;40.798;38.062
23.501,-27.061;40.798;38.062
24.007,-27.061;40.798;38.062
24.501,-27.315;40.798;37.643
25.007,-27.330;40.798;37.620
25.501,-27.330;40.798;37.620
26.003,-27.330;40.798;37.620
26.501,-27.330;40.798;37.620
27.004,-27.330;40.798;37.620
27.531,-27.330;40.798;37.620
28.000,-27.372;40.798;37.676
28.503,-27.080;40.798;37.834
29.004,-27.609;40.737;38.653
29.503,-27.872;38.973;38.854
30.003,-27.656;34.759;38.721
30.503,-27.658;28.075;38.723
31.007,-27.666;18.842;38.711
31.504,-27.671;7.335;38.704
32.009,-27.671;4.975;38.704
32.501,-27.671;4.975;38.704
33.004,-27.671;4.975;38.704
33.504,-27.671;4.975;38.704
34.007,-27.671;4.975;38.704
34.529,-27.671;4.975;38.704
35.007,-27.363;4.975;38.980
35.508,-26.543;4.975;39.922
36.008,-26.066;4.975;40.904
36.505,-26.066;4.975;40.904
37.001,-26.066;4.975;40.904
37.505,-25.867;4.975;41.154
38.009,-25.833;4.975;41.448
38.508,-25.833;4.975;41.448
39.003,-25.833;4.975;41.448
39.504,-25.833;4.975;41.448
40.007,-25.833;4.975;41.448
40.501,-25.833;4.975;41.448
41.002,-25.833;4.975;41.448
41.506,-25.833;4.975;41.448
42.007,-25.833;4.975;41.448
42.508,-25.833;4.975;41.448
43.004,-25.833;4.975;41.448
43.507,-25.833;4.975;41.448
44.010,-25.848;4.975;41.523
44.506,-26.136;4.975;41.765
45.002,-25.859;4.975;42.191
45.502,-24.979;4.975;43.075
46.000,-24.438;4.975;44.164
46.504,-24.398;4.975;44.520
47.005,-24.590;4.975;45.102
47.507,-24.590;4.975;45.102
48.003,-24.896;4.975;45.415
48.540,-24.751;4.975;45.275
49.004,-24.172;4.975;44.555
49.510,-24.554;4.975;44.991
50.004,-24.356;4.975;45.282
50.510,-24.381;4.975;45.618
51.004,-25.129;4.975;45.591
51.504,-25.283;4.975;45.908
52.005,-25.283;4.975;45.908
52.501,-25.283;4.975;45.908
53.007,-25.283;4.975;45.908
53.501,-25.283;4.975;45.908
54.003,-25.283;4.975;45.908
54.510,-24.764;4.975;45.287
55.003,-24.697;4.975;45.183
55.509,-25.346;4.975;44.396
56.010,-26.388;4.975;44.094
56.505,-26.501;4.975;44.060
57.003,-27.056;4.975;43.918
57.502,-26.891;4.975;43.554
58.010,-27.575;4.975;42.769
58.508,-27.984;4.975;42.839
59.006,-28.049;4.975;42.397
59.505,-29.029;4.975;42.472
60.008,-29.687;4.147;42.661
60.507,-29.601;0.915;42.523
61.005,-29.358;-4.748;42.560
61.506,-29.321;-12.886;42.540
62.001,-29.321;-23.361;42.540
62.510,-29.321;-36.642;42.540
63.019,-29.321;-52.506;42.540
63.511,-29.321;-70.195;42.540
64.005,-29.321;-90.370;42.540
