time,position
0.548,0.000;0.125;0.000
1.008,0.000;0.125;0.000
1.506,0.000;0.125;0.000
2.003,0.000;0.125;0.000
2.509,0.000;0.125;0.000
3.007,0.000;0.125;0.000
3.511,0.000;0.125;0.000
4.002,0.000;0.125;0.000
4.501,0.000;0.125;0.000
5.003,0.000;0.125;0.000
5.503,0.000;0.125;0.000
6.002,0.000;0.125;0.000
6.504,0.000;0.125;0.000
7.001,0.000;0.125;0.000
7.502,0.000;0.125;0.000
8.002,0.000;0.125;0.000
8.502,0.000;0.125;0.000
9.001,0.000;0.125;0.000
9.502,0.000;0.125;0.000
10.002,0.000;0.125;0.000
10.502,0.000;0.125;0.000
11.002,0.000;0.125;0.000
11.502,0.000;0.125;0.000
12.002,0.000;0.125;0.000
12.502,0.000;0.125;0.000
13.002,0.000;0.125;0.000
13.502,0.000;0.125;0.000
14.002,0.000;0.125;0.000
14.502,0.000;0.125;0.000
15.003,0.000;0.125;0.000
15.502,0.000;0.125;0.000
16.002,0.000;0.125;0.000
16.503,0.000;0.125;0.000
17.002,0.000;0.125;0.000
17.502,0.000;0.125;0.000
18.002,0.000;0.125;0.000
18.502,0.000;0.125;0.000
19.002,0.000;0.125;0.000
19.502,0.000;0.125;0.000
20.002,0.000;0.125;0.000
20.503,0.000;0.125;0.000
21.003,0.000;0.125;0.000
21.501,0.000;0.125;0.000
22.008,0.000;0.125;0.000
22.508,0.000;0.125;0.000
23.014,0.000;0.125;0.000
23.508,0.000;0.125;0.000
24.008,0.000;0.125;0.000
24.501,0.000;0.125;0.000
25.008,0.000;0.125;0.000
25.510,0.000;0.125;0.000
26.015,0.000;0.125;0.000
26.533,0.000;0.125;0.000
27.016,0.000;0.125;0.000
27.505,0.000;0.125;0.000
28.014,0.000;0.125;0.000
28.500,0.000;0.125;0.000
29.014,0.000;0.125;0.000
29.504,0.000;0.125;0.000
30.014,0.000;0.125;0.000
30.503,0.000;0.125;0.000
31.011,0.000;0.125;0.000
31.506,0.000;0.125;0.000
32.013,0.000;0.125;0.000
32.506,0.000;0.125;0.000
33.012,0.000;0.125;0.000
33.522,0.000;0.125;0.000
34.014,0.000;0.125;0.000
34.508,0.000;0.125;0.000
35.008,0.000;0.125;0.000
35.508,0.000;0.125;0.000
36.012,0.000;0.125;0.000
36.503,0.000;0.125;0.000
37.011,0.000;0.125;0.000
37.506,0.000;0.125;0.000
38.009,0.000;0.125;0.000
38.508,0.000;0.125;0.000
39.001,0.000;0.125;0.000
39.503,0.000;0.125;0.000
40.013,0.000;0.125;0.000
40.535,0.000;0.125;0.000
41.001,0.000;0.125;0.000
41.501,0.000;0.125;0.000
42.001,0.000;0.125;0.000
42.507,0.000;0.125;0.000
43.001,0.000;0.125;0.000
43.509,0.000;0.125;0.000
44.000,0.000;0.125;0.000
44.508,0.000;0.125;0.000
45.001,0.000;0.125;0.000
45.504,0.000;0.125;0.000
46.000,0.000;0.125;0.000
46.505,0.000;0.125;0.000
47.007,0.000;0.125;0.000
47.500,0.000;0.125;0.000
48.001,0.000;0.125;0.000
48.501,0.000;0.125;0.000
49.001,0.000;0.125;0.000
49.501,0.000;0.125;0.000
50.002,0.000;0.125;0.000
50.502,0.000;0.125;0.000
51.001,0.000;0.125;0.000
51.505,0.000;0.125;0.000
52.001,0.000;0.125;0.000
52.507,0.000;0.125;0.000
53.001,0.000;0.125;0.000
53.509,0.000;0.125;0.000
54.006,0.000;0.125;0.000
54.504,0.000;0.125;0.000
55.009,0.000;0.125;0.000
55.506,0.000;0.125;0.000
56.020,0.000;0.125;0.000
56.502,0.000;0.125;0.000
57.005,0.000;0.125;0.000
57.502,0.093;0.125;0.635
58.015,0.094;0.125;0.655
58.503,0.094;0.125;0.655
59.002,1.096;0.125;0.515
59.500,1.096;0.125;0.515
60.008,1.028;0.125;0.700
60.501,1.062;0.125;0.894
61.000,1.062;0.125;0.894
61.512,1.062;0.125;0.894
62.017,1.062;0.125;0.894
62.504,1.062;0.125;0.894
63.008,1.062;0.125;0.894
63.504,1.062;0.125;0.894
64.004,1.062;0.125;0.894
64.506,1.029;0.125;0.701
65.005,1.099;0.125;0.519
65.505,1.099;0.125;0.519
66.005,1.099;0.125;0.519
66.504,1.099;0.125;0.519
67.005,1.099;0.125;0.519
67.505,1.099;0.125;0.519
68.005,1.099;0.125;0.519
68.532,1.099;0.125;0.519
69.004,1.099;0.125;0.519
69.505,1.099;0.125;0.519
70.000,1.099;0.125;0.519
70.504,1.099;0.125;0.519
71.002,1.099;0.125;0.519
71.506,1.099;0.125;0.519
72.001,1.099;0.125;0.519
72.504,1.099;0.125;0.519
73.003,1.099;0.125;0.519
73.505,1.099;0.125;0.519
74.005,1.099;0.125;0.519
74.510,1.099;0.125;0.519
75.003,1.099;0.125;0.519
75.526,1.099;0.125;0.519
76.010,1.099;0.125;0.519
76.510,1.099;0.125;0.519
77.010,1.099;0.125;0.519
77.500,0.344;0.125;0.997
78.010,-0.731;0.125;1.681
78.510,-1.790;0.125;2.345
79.004,-2.836;0.125;3.002
79.510,-3.917;0.125;3.660
80.000,-4.286;0.125;3.885
80.510,-5.109;0.125;4.342
81.003,-5.203;0.125;4.402
81.510,-5.203;0.125;4.402
82.006,-5.203;0.125;4.402
82.540,-5.203;0.125;4.402
83.010,-5.203;0.125;4.402
83.501,-5.203;0.125;4.402
84.010,-5.203;0.125;4.402
84.514,-5.103;0.125;4.405
85.010,-3.862;0.125;4.439
85.510,-2.626;0.125;4.259
86.010,-1.377;0.125;4.294
86.511,-0.128;0.125;4.290
87.003,1.088;0.125;4.446
87.505,2.338;0.125;4.488
88.001,2.779;0.125;4.478
88.504,2.779;0.125;4.478
89.002,2.779;0.125;4.478
89.516,2.752;0.125;4.273
90.005,2.605;0.125;3.059
90.509,2.604;0.125;1.805
91.004,2.802;0.125;0.581
91.509,2.939;0.125;-0.672
92.005,3.048;0.125;-1.907
92.506,3.143;0.125;-3.078
93.005,3.143;0.125;-3.078
93.517,3.143;0.125;-3.078
94.005,2.984;0.125;-3.083
94.518,1.702;0.125;-3.132
95.004,0.495;0.125;-3.262
95.508,-0.755;0.125;-3.413
96.004,-1.961;0.125;-3.558
96.506,-1.961;0.125;-3.558
97.004,-1.961;0.125;-3.558
97.505,-1.880;0.125;-3.319
98.005,-1.429;0.125;-2.156
98.501,-1.161;0.125;-0.947
99.005,-1.006;0.125;-0.063
99.505,-1.006;0.125;-0.063
100.005,-1.006;0.125;-0.063
100.502,-1.006;0.125;-0.063
101.004,-1.006;0.125;-0.063
101.504,-1.006;0.125;-0.063
102.005,-1.006;0.125;-0.063
102.510,-1.006;0.125;-0.063
103.001,-1.006;0.125;-0.063
103.511,-1.006;0.125;-0.063
104.001,-1.006;0.125;-0.063
104.502,-1.006;0.125;-0.063
105.007,-1.006;0.125;-0.063
105.508,-1.006;0.125;-0.063
