time,position
0.515,21.650;0.640;32.000
1.005,21.650;0.640;32.000
1.508,21.650;0.640;32.000
2.014,21.650;0.640;32.000
2.511,22.551;0.640;31.766
3.000,23.714;0.640;31.899
3.516,23.714;0.640;31.899
4.013,23.714;0.640;31.899
4.513,23.714;0.640;31.899
5.013,23.714;0.640;31.899
5.505,23.714;0.640;31.899
6.014,24.984;0.546;31.932
6.525,26.261;0.322;31.967
7.020,27.462;0.047;31.733
7.502,28.633;-0.177;31.508
8.007,29.895;-0.322;31.546
8.512,31.131;-0.410;31.793
9.022,31.423;-0.410;31.809
9.505,31.423;-0.410;31.809
10.013,31.423;-0.410;31.809
10.505,31.423;-0.410;31.809
11.010,31.423;-0.410;31.809
11.502,31.423;-0.410;31.809
12.011,31.423;-0.410;31.809
12.502,32.399;-0.418;31.863
13.013,33.677;-0.355;31.858
13.508,34.913;-0.207;31.803
14.007,36.160;0.011;31.735
14.508,37.355;0.303;31.654
15.007,37.548;0.364;31.647
15.503,38.782;0.527;31.606
16.013,40.054;0.618;31.522
16.507,41.284;0.656;31.404
17.012,41.503;0.662;31.380
17.510,41.437;0.662;31.560
18.002,41.437;0.662;31.560
18.502,41.437;0.662;31.560
19.001,41.437;0.662;31.560
19.507,41.969;0.687;31.907
20.009,43.060;0.718;32.528
20.508,44.165;0.718;33.104
21.005,45.321;0.698;33.546
21.504,45.899;0.687;33.646
22.008,45.899;0.687;33.646
22.503,45.899;0.687;33.646
23.006,45.899;0.687;33.646
23.511,45.242;0.687;33.581
24.009,44.061;0.706;33.266
24.512,43.565;0.709;32.963
25.013,43.565;0.709;32.963
25.509,43.565;0.709;32.963
26.013,43.565;0.709;32.963
26.502,42.981;0.710;32.864
27.004,41.968;0.710;32.232
27.507,41.635;0.699;32.069
28.001,40.579;0.666;31.957
28.500,39.393;0.493;32.282
29.003,38.143;0.466;32.157
29.502,36.900;0.140;32.047
30.014,35.876;-0.101;31.987
30.504,35.876;-0.101;31.987
31.013,35.876;-0.101;31.987
31.505,35.876;-0.101;31.987
32.010,35.876;-0.101;31.987
32.511,35.099;-0.196;32.087
33.001,33.873;-0.339;32.065
33.535,32.540;-0.416;32.029
34.008,31.359;-0.423;32.002
34.513,30.098;-0.342;31.941
35.005,28.869;-0.195;31.881
35.512,27.600;0.053;31.884
36.011,26.354;0.361;31.900
36.521,25.079;0.506;31.928
37.000,23.889;0.618;32.037
37.506,22.908;0.641;32.790
38.010,22.870;0.641;32.855
38.501,22.870;0.641;32.855
39.014,23.765;0.641;33.089
39.504,24.987;0.353;33.154
40.012,26.233;0.025;33.375
40.507,27.354;-0.214;33.891
41.011,28.593;-0.378;34.109
41.510,29.821;-0.485;34.276
42.013,30.568;-0.544;35.238
42.512,31.186;-0.597;36.281
43.005,32.397;-0.613;36.376
43.505,33.551;-0.514;36.793
44.005,34.625;-0.424;37.432
44.510,35.638;-0.339;38.182
45.006,36.271;-0.199;39.244
45.509,36.807;-0.075;40.381
46.020,37.340;0.053;41.541
46.504,38.144;0.248;42.388
47.010,39.172;0.490;43.067
47.502,39.826;0.615;43.615
48.008,39.826;0.615;43.615
48.504,40.157;0.625;43.309
49.002,40.730;0.641;42.778
49.507,40.848;0.646;42.717
50.003,42.033;0.673;42.356
50.527,43.306;0.702;42.050
51.010,44.493;0.708;41.844
51.501,45.711;0.708;41.972
52.005,46.961;0.700;42.123
52.505,48.210;0.692;42.090
53.012,49.476;1.746;42.000
53.502,50.697;0.711;41.909
54.004,51.902;0.727;41.585
54.510,53.018;0.727;40.991
55.005,54.134;0.699;40.466
55.511,55.379;0.664;40.251
56.003,56.607;0.661;40.230
56.505,57.846;0.670;40.413
57.013,59.069;0.700;40.751
57.501,60.277;0.632;40.871
58.002,60.558;0.580;40.874
58.506,60.558;0.565;40.874
59.000,60.558;0.565;40.874
59.501,60.558;0.565;40.874
60.010,60.654;0.578;39.723
60.508,60.778;0.547;38.486
61.008,60.886;0.512;37.242
61.513,60.737;0.512;36.577
62.012,60.737;0.512;36.577
62.500,60.019;0.639;36.484
63.010,58.755;0.650;36.324
63.508,57.535;0.683;36.076
64.001,56.779;0.703;35.896
64.516,56.779;0.703;35.896
65.008,56.779;0.703;35.896
65.504,56.779;0.703;35.896
66.009,56.779;0.703;35.896
66.504,56.779;0.703;35.896
67.041,56.779;0.703;35.896
67.506,56.779;0.703;35.896
68.014,56.779;0.703;35.896
68.508,56.779;0.703;35.896
69.158,56.779;0.703;35.896
