timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm
2025-11-25 16:15:32.781,0.4181812,5.763863,5.867838,5.815851
2025-11-25 16:15:33.283,0.4085747,5.265989,5.458703,5.362346
2025-11-25 16:15:33.790,0.3941865,4.777407,4.28205,4.529728
2025-11-25 16:15:34.299,0.3965734,4.581686,4.635652,4.608668
2025-11-25 16:15:34.804,0.2445087,4.917214,5.16184,5.039527
2025-11-25 16:15:35.322,0.3720225,5.179855,5.302489,5.241172
2025-11-25 16:15:35.828,0.3532604,5.040336,5.262839,5.151587
2025-11-25 16:15:36.336,0.318142,4.59065,5.944494,5.267572
2025-11-25 16:15:36.840,0.41041,5.142231,5.397814,5.270022
2025-11-25 16:15:37.344,0.2040851,4.968949,5.192797,5.080873
2025-11-25 16:15:37.844,0.4846389,5.365366,5.229287,5.297327
2025-11-25 16:15:38.349,0.5535332,5.130348,5.025239,5.077793
2025-11-25 16:15:38.864,0.5580024,4.667776,5.111482,4.889629
2025-11-25 16:15:39.364,0.5408757,4.849748,4.959649,4.904698
2025-11-25 16:15:39.865,0.53255,3.004368,5.026682,4.015525
2025-11-25 16:15:40.376,0.5304824,2.926483,4.96455,3.945517
2025-11-25 16:15:40.877,0.5549465,4.974161,5.11122,5.04269
2025-11-25 16:15:41.381,0.5573773,4.930463,4.959643,4.945053
2025-11-25 16:15:41.888,0.5321408,4.778226,4.980729,4.879478
2025-11-25 16:15:42.399,0.3100456,4.750953,4.88803,4.819491
2025-11-25 16:15:42.901,0.09701069,4.86935,5.012206,4.940778
2025-11-25 16:15:43.402,0.09657282,4.786242,4.844184,4.815213
2025-11-25 16:15:43.924,0.09047471,4.986053,5.007731,4.996892
2025-11-25 16:15:44.425,0.09263432,5.000812,4.964245,4.982529
2025-11-25 16:15:44.936,0.09394247,4.989419,5.130677,5.060048
2025-11-25 16:15:45.444,0.093562,4.724969,4.858399,4.791684
2025-11-25 16:15:45.951,0.1044874,4.703544,4.787057,4.7453
2025-11-25 16:15:46.462,0.1041475,4.730353,4.80269,4.766521
2025-11-25 16:15:46.967,0.1034027,4.546828,4.695901,4.621365
2025-11-25 16:15:47.477,0.1032517,4.608657,4.807736,4.708197
2025-11-25 16:15:47.977,0.1016921,4.920327,4.813548,4.866937
2025-11-25 16:15:48.480,0.1013744,4.764202,4.722591,4.743397
2025-11-25 16:15:48.990,0.09944139,4.706127,4.666452,4.68629
2025-11-25 16:15:49.506,0.09313017,4.594807,4.644343,4.619575
2025-11-25 16:15:50.011,0.1870583,4.602387,4.648524,4.625456
2025-11-25 16:15:50.518,0.5071155,4.743157,4.87065,4.806904
2025-11-25 16:15:51.021,0.5526881,4.956306,5.178803,5.067554
2025-11-25 16:15:51.526,0.5155297,5.167874,5.217133,5.192503
2025-11-25 16:15:52.030,0.5513341,4.770504,3.687612,4.229058
2025-11-25 16:15:52.535,0.5443281,5.196729,5.69312,5.444924
2025-11-25 16:15:53.037,0.5414367,4.617421,4.678365,4.647893
2025-11-25 16:15:53.541,0.5440917,4.656317,4.837194,4.746756
2025-11-25 16:15:54.045,0.5443927,4.74197,4.857745,4.799857
2025-11-25 16:15:54.550,0.5444422,4.4502,4.332417,4.391309
2025-11-25 16:15:55.060,0.3568668,4.905349,5.130764,5.018057
2025-11-25 16:15:55.562,0.4705908,5.008183,4.899873,4.954028
2025-11-25 16:15:56.066,0.5530246,5.006309,5.01248,5.009395
2025-11-25 16:15:56.571,0.5037334,5.028985,4.967191,4.998088
2025-11-25 16:15:57.070,0.5530502,4.765683,4.954315,4.859999
2025-11-25 16:15:57.577,0.5637957,4.383446,4.842904,4.613175
2025-11-25 16:15:58.078,0.5622748,4.628049,4.703739,4.665895
2025-11-25 16:15:58.587,0.5437232,5.112332,5.38221,5.247271
