timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm
2025-11-25 16:08:57.286,0.3867604,5.326384,5.122692,5.224538
2025-11-25 16:08:57.797,0.3865355,5.326384,5.137612,5.231998
2025-11-25 16:08:58.300,0.366628,4.189637,5.137612,4.663625
2025-11-25 16:08:58.804,0.3644575,5.326384,4.265366,4.795875
2025-11-25 16:08:59.319,0.06575844,4.294394,4.265366,4.279881
2025-11-25 16:08:59.830,0.1624946,5.326384,4.495383,4.910883
2025-11-25 16:09:00.343,0.3779117,4.360541,4.495383,4.427962
2025-11-25 16:09:00.857,0.3781222,4.360541,4.189332,4.274936
2025-11-25 16:09:01.370,0.3778018,4.495602,4.189332,4.342466
2025-11-25 16:09:01.875,0.3775511,4.495602,4.4995,4.497551
2025-11-25 16:09:02.383,0.3576676,4.366278,4.189332,4.277804
2025-11-25 16:09:02.887,0.06814974,4.495602,4.512841,4.504221
2025-11-25 16:09:03.396,0.06763703,4.446775,4.189332,4.318053
2025-11-25 16:09:03.932,0.07259414,4.635672,4.552488,4.59408
2025-11-25 16:09:04.442,0.07478129,4.635672,4.430524,4.533098
2025-11-25 16:09:04.947,0.0750666,4.490636,4.430524,4.46058
2025-11-25 16:09:05.448,0.1323232,4.490636,4.408739,4.449687
2025-11-25 16:09:05.953,0.3319171,4.785459,4.408739,4.597099
2025-11-25 16:09:06.458,0.3286439,4.785459,4.248957,4.517208
2025-11-25 16:09:06.963,0.3805552,4.560565,4.248957,4.404761
2025-11-25 16:09:07.477,0.3505571,4.560565,4.800863,4.680714
2025-11-25 16:09:07.987,0.4020702,4.530108,4.800863,4.665485
2025-11-25 16:09:08.500,0.4427984,4.530108,4.198088,4.364098
2025-11-25 16:09:09.014,0.309006,4.211352,4.198088,4.20472
2025-11-25 16:09:09.528,0.07480436,4.211352,4.550665,4.381008
2025-11-25 16:09:10.037,0.07467493,4.77923,4.550665,4.664948
2025-11-25 16:09:10.539,0.0764613,4.211352,4.518647,4.365
